sampleID,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Final_Label
TCGA-B6-A0RN-01,-1.078876,0.9430448,0.9980911,1.755179,0.6392888,0.53729665,0.22908898,0.060896076,1.6071103,-0.3081054,-1.6436954,2.6191735,-0.136184,-2.1191714,-2.2140362,-0.2500657,0.42488486,-0.79130137,2.2817173,-1.028699,LumA
TCGA-BH-A0BL-01,-2.5329812,-1.1024054,-1.8677933,-0.61046636,-0.22597122,-1.242761,-0.4059374,0.11805553,-0.43382862,-0.7433551,-0.47607055,0.13982579,2.6522796,0.53462267,0.36185068,1.3301239,-0.3729912,1.4786447,-1.0051366,-2.7080414,Basal
TCGA-AN-A0XV-01,-0.74352545,0.25547603,-1.0309808,1.3622781,0.42234585,-0.080466114,0.6758264,0.2371582,0.5745304,-0.50551945,-1.0076252,0.85409063,0.55989003,0.03883107,-0.30474892,0.042399567,0.5994919,0.73967457,-0.21974333,-0.14258766,LumA
TCGA-AR-A2LQ-01,-3.3562865,-0.47494242,-1.5774322,2.4817579,0.8531892,-0.972145,0.35035795,-0.4164755,1.0079286,-1.5524983,-1.7497854,1.121935,1.7462745,-0.073418505,0.24628103,1.2616922,1.184366,1.6177391,0.20372775,-3.4437904,Normal
TCGA-AO-A03P-01,2.044156,-0.21709521,-0.72927904,-1.5769699,-0.17348216,0.23134778,-0.2264183,0.77866656,0.03310538,1.3671153,-0.43009955,0.22172366,-0.7159978,-0.48615623,-0.6765224,-0.98374224,-0.17347239,-2.7609527,1.2510647,2.0537887,LumB
TCGA-B6-A0X7-01,-1.5864863,0.953136,-0.20767528,3.944001,1.5155988,-0.6847635,0.13440849,-0.3956403,1.9393091,-0.53500444,-1.600048,2.0273733,0.023163747,-1.321676,-0.9085521,1.2951111,0.64676154,-0.8957776,1.7971563,-1.0768965,LumA
TCGA-A8-A07B-01,3.5601494,0.13847266,2.2896051,-3.799545,-1.8953677,1.224433,-0.37981573,0.49549934,-1.0175493,0.67002344,0.03229112,-1.4753478,-2.3296995,-0.9028934,-1.7932886,-1.2163966,0.4514164,-0.41828808,0.5810033,-0.0021031722,LumA
TCGA-A8-A086-01,0.7960413,0.59059227,0.108275905,0.35857174,0.5549194,-0.6575376,-1.93927,-0.78878486,-1.0019053,1.5131717,0.18824613,1.7841089,-1.1224049,-0.42359823,-0.59305614,-1.1351746,-0.42271134,-0.082268514,0.8621748,-1.006407,LumA
TCGA-BH-A1FU-01,-1.8541082,-0.3105325,-0.9545456,-1.2728218,-0.054748625,-0.094044425,-0.9125903,-0.5724976,-0.44881752,-1.4527369,-0.4968031,0.16316092,0.8466102,-0.1490035,-0.26495883,0.935964,1.4047561,1.8520924,-0.9930015,-2.2661035,Normal
TCGA-B6-A0RI-01,0.14830014,0.41327116,1.3019438,-0.015851438,0.4369215,-0.07069585,-1.9907149,-1.1864263,-1.0529076,0.34541702,0.61846733,1.0527943,-1.2441695,-0.60119706,-0.22610557,-1.4766637,0.27863088,1.6672747,0.58288854,-1.0472095,LumA
TCGA-E9-A248-01,-0.7389519,0.09059082,-2.096052,-3.4052734,0.2780442,-0.5185177,0.49627334,0.8834406,-0.8961968,-1.6142433,-0.5679323,-1.560979,0.6524088,0.4371232,0.3795552,0.032052055,0.73268783,2.126891,-1.8639357,-0.7863755,Her2
TCGA-A7-A26I-01,0.51050615,-0.38048938,2.366863,-0.40918288,-2.3575437,0.4519424,0.41220158,0.105111,0.47147238,0.41353884,0.52171814,-1.037954,1.1490636,-0.20154598,-1.4834011,0.92655164,-1.8052094,-1.5566225,0.14084157,-2.7848263,Basal
TCGA-E2-A14W-01,1.9504745,-0.96011716,4.2517467,0.06910454,-0.85806084,-0.59346247,-1.539074,-0.62036824,-0.46183833,1.1311406,0.23493513,-0.8190489,-3.4894834,-1.2062309,-1.2457005,-0.7457615,-0.6982822,-1.5195041,0.7713369,1.4178691,LumB
