sampleID,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Final_Label
TCGA-A2-A04U-01,-0.33591157,-1.9527369,-0.41658515,0.16638291,-0.001336962,0.44528276,-1.0973754,1.335692,-0.06797814,-1.4013871,1.1764743,0.6403764,-0.10228187,-0.827213,-2.1428294,0.33917344,3.7482007,-0.42910013,0.40813267,-0.46130052,2.3168232,0.15450653,-0.60114783,1.6032977,0.2226189,0.20014256,0.4992436,1.0006527,-2.0846071,0.62013257,-1.6551014,-2.2122607,0.8613112,1.1418846,-1.655319,-1.7374698,-1.182587,-0.8640183,-0.05937164,-3.6183722,Basal
TCGA-AN-A0FT-01,-1.6156509,-0.4245616,0.0099880025,3.071825,-0.64745253,0.8354074,-3.3907762,0.60558635,-0.63495964,-0.4605307,0.7604522,-0.06679081,-2.935763,-1.7636485,-4.040007,2.6395686,1.1579185,0.40459728,0.34392744,-2.6847625,-0.23233637,-0.7159227,-0.4288661,-1.3608985,-1.4237156,-1.0853138,0.60477364,0.3252977,1.4557596,0.64469725,-2.133814,2.782444,0.29443607,-3.8892908,0.029515117,-2.9394152,0.92808867,-0.1519672,-1.9393554,0.7217926,LumA
TCGA-A7-A26J-01,0.8454988,0.72815955,-0.57559305,-0.76498705,0.38201663,-0.8212099,-0.4599394,0.7944758,0.31762195,-0.775909,-0.081961595,0.39585084,0.61063135,0.23012467,-0.4174565,0.39445233,-1.7509205,-1.3322833,0.45186442,0.35235953,-0.24957746,0.40194246,0.4351044,0.13377436,1.2283356,-0.50240487,-0.6884391,-0.3551077,0.32951316,-0.3164356,-0.37396497,-0.16431096,-0.1148248,-0.07385838,0.4202666,0.8264252,-0.30214506,-0.2681374,-0.30663303,0.25602162,LumA
TCGA-E9-A1NE-01,-0.16192073,1.7691588,0.009966906,-0.5115034,-0.996309,-0.16077532,1.0420094,-1.5936909,0.11515413,-0.49812165,0.0061745774,-0.5584773,1.0418072,0.6713545,-0.30058578,-2.1995246,-1.9302803,0.009447411,0.62872654,1.970663,-0.46922752,0.42267698,-0.2807289,0.018741947,-0.04000394,0.32982853,0.02096771,-0.6686364,0.706628,0.27661076,1.1094567,0.4824394,-0.91410077,1.2650759,2.7176614,2.4112685,0.40826112,0.37300605,0.7081568,-0.9214972,LumA
TCGA-AO-A0JM-01,-0.20909359,0.2952368,0.47357017,0.23604748,1.1219912,0.13895345,-0.4512911,0.78030324,-0.16806462,0.6606586,-0.27842265,-0.42580503,-0.17458464,0.6953413,-1.3112534,0.4698574,-0.6138433,1.5676609,-0.7856075,-1.1253068,-0.66705066,-0.08052312,-0.3412435,-1.0857507,-0.7405869,-0.76101506,0.048944473,-0.9568764,1.4221487,-0.31120038,-0.19280846,0.87010485,0.12612298,-0.8370523,-0.5339323,-0.8488612,0.7539068,-0.30077812,0.2534207,2.6292393,LumB
TCGA-E2-A1B4-01,-0.4266904,-0.47448125,-0.52689177,0.36455005,-1.1489236,-1.4560931,-2.1013887,2.7415605,-0.3448702,-1.2305305,-0.21489276,0.81347287,-0.45984995,-1.1519011,-2.1456528,0.73434365,-3.8846757,0.68504107,1.8617299,1.1800835,-0.14320993,-0.28064016,0.095771916,1.2155067,0.8342408,-1.7389193,0.11632033,0.37832272,1.4178753,0.73482794,-2.05859,0.009462144,0.2208468,-2.6215785,-1.2708029,-3.8445787,-1.4449022,-1.1292553,-1.2159076,-1.4241298,LumA
TCGA-BH-A0BR-01,-0.8767712,0.58778465,-0.42756626,-0.6212925,0.58056456,-0.1308164,0.5166834,0.03434877,0.39991558,0.23513591,0.7347516,-2.1030471,-0.579161,-0.50354147,0.8911295,1.1604724,0.82302743,1.1862768,-0.24640632,1.0498297,-1.9867811,-0.27519408,0.6983173,-0.079639815,0.16398396,0.59949845,-0.42466527,-0.4524603,2.51902,0.32225287,0.37402984,0.008888319,-0.4891868,-0.85953355,0.93420005,-0.21527526,0.38549656,0.36252832,0.5997899,0.9724284,LumA
TCGA-BH-A0H9-01,-0.3639267,0.6303308,-0.47753996,-0.101617105,0.3535751,-0.19797708,0.75863117,1.3166627,-0.021887578,-0.7604781,0.63174784,-1.2640414,-0.25432637,0.21072602,0.20775276,-1.184567,-0.9295791,0.85321033,0.2657973,0.858287,-0.9943609,-0.55317533,-0.51125044,-1.5091807,-0.50017744,0.27888942,0.3845657,-0.8497347,-0.35798752,0.56155354,0.35866266,0.43776497,0.63291764,0.9569902,0.68256366,-2.0890112,-0.1361745,0.31432328,1.2232383,0.47986585,LumA
TCGA-B6-A0IJ-01,0.88172823,0.71906793,0.58779174,0.7886895,-1.7129836,0.9476187,0.15663734,-1.7687387,0.52834255,0.59908354,0.34189123,-0.46799734,0.13472238,-0.23604305,-0.0737146,-1.6121743,2.9104161,2.1429138,0.56729794,-1.3474123,1.9214196,-0.88204664,0.92353624,0.14527115,-2.3885531,-0.004266098,-0.7122098,-0.0861533,-0.28239405,-0.25868043,0.18353772,-0.31301558,-0.75840354,-0.5551219,-1.497986,2.5806284,0.09968378,0.15010393,-1.5258288,-1.7567238,Basal
TCGA-AC-A2QH-01,3.4267428,-3.229611,-1.0053606,-2.5074403,3.0607176,0.6299708,-2.1068382,1.3950866,0.99157923,0.9760787,-1.9931991,3.622424,2.7190251,-0.19124205,-2.0024364,6.92805,3.4347937,-7.0471377,-1.8096354,-0.61053383,1.9028406,0.91666096,3.5127363,1.781692,5.9553747,-3.2440352,-1.8621668,0.90096724,-2.5359652,-0.35222936,-4.7289243,-3.4443653,-0.6398189,-0.05883169,-0.18025273,1.5276989,-0.19566028,-3.0400696,1.4053843,2.4845736,Basal
TCGA-A2-A1FW-01,0.9145952,1.1347548,-0.50585395,-0.29619896,1.936842,0.5123097,0.41945848,-1.1117076,0.4239956,-0.09309571,-0.5791123,0.14825237,0.2811413,1.8067082,-1.1123205,-1.2279251,-1.1243254,-0.87076056,-1.40216,-0.7982982,0.013336167,0.43330687,-1.5691297,-1.7385514,0.78845686,0.051892586,-0.4754039,-0.81987363,-0.5768665,-0.0054298416,0.11518975,0.7370991,0.35231152,1.7534413,1.4876393,0.35149258,0.5731759,0.11954445,1.1488097,1.6950957,LumB
TCGA-E9-A243-01,0.7766723,1.7669977,-0.39301503,-0.90002066,-0.70383286,1.1340989,-0.12783328,-1.587425,0.4706968,0.3900299,-0.2685517,-1.4719579,0.87911636,0.19989151,-0.41920882,-1.8152251,1.218501,0.997289,0.09701603,0.7671202,0.4509609,0.34786472,1.2762187,0.115977705,-1.652663,-0.11744553,-1.4912391,-1.4604812,1.1710949,-0.038609847,0.42150775,-0.77135164,-1.5818088,-0.3395073,1.414411,3.4217374,-0.07793306,-0.77337635,-0.30944675,0.7088965,Basal
TCGA-A2-A0EO-01,0.07649683,0.020983167,-0.7253727,-0.093753725,0.12016773,0.19077149,-0.87063164,0.23537093,0.029049091,-0.47812515,-0.507592,-0.527617,0.5758569,0.63400835,-0.4769646,-0.7502227,-0.8740453,0.3566026,0.88920444,1.764173,0.15591276,0.18636683,0.03238725,0.23134622,0.15797044,0.061708644,-0.34517026,-0.34345618,1.7349209,-0.008624755,-0.37611264,0.036458302,-0.13031463,0.38590294,1.2621856,-0.8020509,-1.1309481,-0.23704831,0.1898155,0.0025733113,LumA
TCGA-AN-A049-01,-0.3873769,0.46829814,0.1673143,-0.26480573,-0.3995435,-0.43413663,0.6270395,0.3935727,0.025844987,0.021047369,-0.025712531,-0.32270914,0.11547367,0.12281442,-0.27760276,-0.58882797,-1.6058023,0.40540004,-0.10256947,-0.049452662,-0.60341173,-0.23519503,-0.26885808,-0.17544478,-0.35162157,-0.41903764,0.40608913,-0.17123346,0.89651597,0.13081446,0.29280037,0.25177127,-0.0619853,-0.02181612,0.19217867,0.17634988,0.25583565,-0.13012531,-0.24752167,0.54067934,LumA
TCGA-A2-A04V-01,-0.6732657,-0.8004612,0.8539825,1.6103561,-0.1452582,0.11274175,-0.92646646,-0.7664251,-0.36466223,-0.171767,-0.15431575,2.1307333,-1.6035779,-0.8230007,-1.8282406,2.5091162,-0.921985,-1.2319031,-0.59324884,-1.7331705,0.3315209,0.22913279,-0.57695967,-0.10562398,1.5061774,-1.3078529,0.50839,1.3922776,0.25017864,0.4422729,-1.6051636,1.2581884,0.8660412,-1.9522696,0.4223477,-1.7692133,1.2698787,-0.6295315,-0.75489426,1.0346595,LumA
TCGA-E2-A14T-01,-0.06601196,0.5192248,-0.4567183,1.0515983,0.16596094,1.1502928,0.51574117,-0.95811796,-0.37764293,-1.5997432,0.4370852,0.57154167,-0.976429,0.73418295,-0.76869214,-1.3572345,-0.030356405,0.03608128,-0.38702276,-0.23003475,-0.23027572,-0.9724502,-1.9143132,-2.1460876,-0.10967104,0.2361454,1.1035076,0.48317084,-2.3569195,0.8243663,-0.3474982,1.5244752,1.8292825,1.5694419,0.9801233,-2.470789,0.18127795,1.0598084,0.82597446,-0.32804328,LumA
TCGA-E2-A1LL-01,-0.11627939,-0.91406715,-0.9651467,-1.1832154,0.8563394,-0.16763033,-0.45451728,0.91134137,-0.0117369965,0.7567235,-0.65468514,-2.1290102,0.8804719,-0.61797065,1.8842789,-0.24479565,3.5153244,1.4583408,0.38630486,1.1146805,-0.35792458,-0.073375836,1.9630495,1.6918935,-0.58307266,0.273889,-1.1347781,0.76953644,0.49325073,-0.55564517,0.53508097,-0.55204576,-0.3599373,0.43311092,-0.27631363,-2.3914208,-1.1416303,0.5819726,0.84925276,0.78264886,Basal
TCGA-EW-A1P4-01,0.6869978,0.011212498,0.07902983,-0.4037258,-0.7988771,-0.17364146,0.4517117,-1.3017471,0.102607355,1.245702,-0.36278823,-1.0623608,0.18728742,0.003072083,2.7910066,-0.30610472,2.2390203,1.6945043,0.039676882,0.3658203,-0.6950852,-0.2542336,1.4401393,0.6745319,-0.77652025,1.4475311,-0.06886792,-0.0027083028,-0.42252564,0.037341,0.69175357,-0.4023331,-0.6454878,0.44674885,-0.784191,1.4251295,-0.41506317,0.5829421,0.41675997,0.3704784,Basal
TCGA-A2-A0T4-01,-0.28352937,0.10627848,0.24734724,0.5724552,-0.43341938,0.9998038,-0.25287548,-1.772802,-0.31829852,-0.29294986,-0.09115212,-0.27193552,-1.0623308,0.15649867,-0.7527985,-0.013442628,-0.78021646,0.09450281,0.052986223,0.5959164,-0.7931131,-0.7610185,-0.8815918,-1.050012,-0.16419914,-0.6859248,0.67238235,0.7166013,0.9270715,0.44927967,-0.46543553,0.9291741,0.77878153,0.33695063,1.7587558,-1.3403052,0.1862772,-0.008730218,-0.32045943,-0.10607079,LumA
TCGA-BH-A0W3-01,0.11727784,2.0366926,0.17244536,-1.347898,-0.10809084,-3.0786705,1.0043377,3.245514,0.65940964,-1.3991878,0.25115418,0.7667559,0.66341156,-0.71338636,-1.0842658,0.23887712,-6.024081,-2.0901988,-0.43026897,-1.2027365,-1.1677095,-0.78326505,-0.11522557,-0.01256033,0.818043,-1.2978315,0.6823313,-0.8539355,0.008687824,0.14611201,1.0282348,-0.13507706,-0.22961697,-1.7688203,-0.8110579,0.43221802,0.632673,-0.059212476,-0.91982216,1.5620366,LumB
TCGA-A8-A08G-01,-0.62832755,0.1626676,0.57483274,0.17726633,-0.17307475,-0.41421384,1.8996351,-0.49368602,0.11737146,0.15526854,0.4881723,0.27783042,-0.30412066,0.49734163,0.9097963,-0.11253705,-0.6800208,-0.3456913,-0.36620513,-0.34948292,-0.7032259,-0.33822146,-0.43227687,-0.16336218,0.5664486,-0.36322528,1.0798084,1.1260148,-0.3519441,0.11210571,-0.19477448,0.48657042,0.78121305,0.3666107,-0.20400307,-0.38505256,0.8636039,0.5482936,-0.042652432,0.15228966,LumB
TCGA-EW-A1IX-01,-0.09053673,0.37651065,1.3211595,-0.538973,0.31173486,-0.805864,0.9083759,-0.5916628,0.06419979,-0.698171,0.47831,0.54750115,-0.23095924,0.5383339,0.6823193,0.3184754,-3.335702,-1.2560872,0.06591268,2.1213763,-1.4575591,-0.2561891,-0.4586635,-0.21066874,1.2414303,-0.9272748,0.65679985,0.5543309,2.292686,-0.30306002,0.15999576,0.005487643,0.296833,-0.086320475,2.3639169,-0.18240175,0.39348438,-0.30322647,-0.4113771,0.3824616,LumA
TCGA-A1-A0SH-01,-0.0968031,-0.6407337,-0.15303226,-0.67846704,1.7992535,-0.19220014,-0.42731026,0.9130005,0.25476718,0.06240396,-0.32377914,-0.29522884,0.77181584,0.69786656,0.9606022,0.7144419,-0.40016717,-0.67301255,0.3955364,3.1722848,-0.619368,0.19716468,0.96777683,0.85638213,1.3618716,-0.017174527,-0.9639536,-0.15720135,3.0008678,-1.1312444,-0.78258413,-1.0082803,-0.22457483,-0.5866018,1.3224869,-1.8108463,-1.292547,-0.47874048,0.59396327,1.7297564,LumA
TCGA-C8-A1HG-01,-1.0292455,-0.09793234,1.101652,2.8077347,0.29122677,1.866929,-0.9199084,-1.7091738,-0.28834176,-1.1808583,0.64127886,1.0688288,0.88111335,1.8665965,-1.1893743,-1.5957594,1.848826,0.46956623,0.8762767,-2.3235369,1.7093642,0.14434007,-1.994825,-1.1908847,-1.0965614,-0.2352385,0.5485195,0.47457594,0.3738026,-0.6636246,-0.7597925,2.692855,0.5087303,-0.75309974,-0.7885401,0.93710995,1.1066278,1.36393,-1.4473335,1.4085878,LumB
TCGA-E2-A10E-01,-0.44747952,1.3559889,-0.21248819,-0.85059446,-0.074694976,-1.5965648,0.6351867,1.0895468,0.3697374,-1.3558605,1.0124226,-1.1449416,0.34024346,-0.52368015,0.2957243,-0.26233518,-2.4195719,-0.50689346,0.54190505,0.67564505,-1.4230958,-0.5220634,-0.22145203,-0.32386345,0.64453876,0.22461225,0.29015294,-0.5664215,0.56158453,0.3842888,0.4454429,0.070466876,0.030376673,-0.09657937,0.5377233,0.40431947,0.3877044,0.21062163,-0.0013581655,-0.3479485,LumA
