Representation,Resample,n_subsample,ARI,NMI
VAE_Z40,18,7432,0.010268109766984277,0.025186802243178326
VAE_Z40,19,7432,0.012057592802656579,0.02996236342635404
VAE_Z40,20,7432,0.0064491930735074,0.021444958058741678
VAE_Z40,21,7432,0.01052244694206317,0.031067826737430634
VAE_Z40,22,7432,0.007695402413911114,0.02628445994093631
VAE_Z40,23,7432,0.0041120801270853645,0.01886342693527767
VAE_Z40,24,7432,0.010927883638983907,0.0368239211614355
VAE_Z40,25,7432,0.0065989200187115665,0.026293251346821842
VAE_Z40,26,7432,0.010639115085823204,0.033148992887413284
VAE_Z40,27,7432,0.003917874703693424,0.017529111758376476
VAE_Z40,28,7432,0.00805553749012737,0.01926089715772462
VAE_Z40,29,7432,0.0051754747977928815,0.018715445827389758
VAE_Z40,30,7432,0.013502904839362936,0.030856071634201017
VAE_Z40,31,7432,0.012361770991514125,0.03037329364533795
VAE_Z40,32,7432,0.3084639233471143,0.4320997282055447
VAE_Z40,33,7432,0.00935295624651398,0.028844473036384707
VAE_Z40,34,7432,0.010670720729367452,0.03145856048403089
VAE_Z40,35,7432,0.007151004681311805,0.03084081078644063
VAE_Z40,36,7432,0.009604333045430614,0.02880389293956578
VAE_Z40,37,7432,0.011608511210910834,0.029258146713864192
VAE_Z40,38,7432,0.006449075139613531,0.02036392848740268
VAE_Z40,39,7432,0.007973418251703291,0.02606651981022142
VAE_Z40,40,7432,0.00930376796194565,0.033300220928602506
VAE_Z40,41,7432,0.011418248468308061,0.02637012687588643
VAE_Z40,42,7432,0.00799962173518064,0.023727572448103442
VAE_Z40,43,7432,0.0038378026445119832,0.017006037566161907
VAE_Z40,44,7432,0.008794777394221142,0.026620467717036893
VAE_Z40,45,7432,0.008258214232238204,0.02640855021290577
VAE_Z40,46,7432,0.0037733941702113444,0.01277747109575144
VAE_Z40,47,7432,0.008293007898062147,0.024674726325516743
VAE_Z40,48,7432,0.0069474958986748825,0.017952720265391388
VAE_Z40,49,7432,0.006653012421646948,0.024949903956576067
VAE_Z40,50,7432,0.009271049337902751,0.033252281712865796
