"Ensembl_ID","Gene_Symbol","ENTREZID","logFC","t","adj.P.Val"
"ENSG00000168477","TNXB","7148",0.561036287300936,14.5479931550647,1.62036040066441e-41
"ENSG00000172346","CSDC2","27254",0.486794980784764,14.4932129911366,3.05347237450041e-41
"ENSG00000163072","NOSTRIN","115677",0.676238710205738,14.4818847295698,3.4663507244714e-41
"ENSG00000132840","BHMT2","23743",0.38062902585878,14.4665180016285,4.12423106257374e-41
"ENSG00000183549","ACSM5","54988",0.402799095311345,14.4397203120782,5.60382184946956e-41
"ENSG00000095637","SORBS1","10580",0.418046406731688,14.4354741767782,5.85783155770062e-41
"ENSG00000125355","TMEM255A","55026",0.488877484145489,14.4145988555152,7.42797469286525e-41
"ENSG00000176971","FIBIN","387758",0.392367159430607,14.4087602875817,7.90951587233577e-41
"ENSG00000153956","CACNA2D1","781",0.430316093309066,14.4073804871615,7.99761293745323e-41
"ENSG00000186642","PDE2A","5138",0.415393441898205,14.3927983449629,9.42553759870081e-41
"ENSG00000140285","FGF7","2252",0.419000518220856,14.3899330564614,9.69651146007959e-41
"ENSG00000172236","TPSAB1","7177",0.485855054242249,14.3801382554018,1.08100518226448e-40
"ENSG00000168490","PHYHIP","9796",0.380698040949418,14.3769642536856,1.11610309182994e-40
"ENSG00000186340","THBS2","7058",0.46485267284969,14.3733576936125,1.15815361744257e-40
"ENSG00000102271","KLHL4","56062",0.457961612568892,14.3637314990131,1.2886252988353e-40
"ENSG00000173376","NDNF","79625",0.518989910918787,14.3631430950093,1.29126130548378e-40
"ENSG00000144810","COL8A1","1295",0.402188190778853,14.361311272542,1.31270498261159e-40
"ENSG00000134363","FST","10468",0.479802749462831,14.3552260243805,1.40192389837546e-40
"ENSG00000160539","PPAPDC3","84814",0.41031438005632,14.3386065918201,1.69138404706519e-40
"ENSG00000075223","SEMA3C","10512",0.472478003164692,14.3176210576643,2.14604833731908e-40
"ENSG00000123360","PDE1B","5153",0.42200399755776,14.3001270822611,2.61477339484716e-40
"ENSG00000236699","ARHGEF38","54848",0.413500668586744,14.2928779512739,2.83002554230321e-40
"ENSG00000130045","NXNL2","158046",0.711309030913868,14.2872094796621,3.00758221328628e-40
"ENSG00000169851","PCDH7","5099",0.401741477310145,14.2830878861511,3.13971679613024e-40
"ENSG00000143196","DPT","1805",0.386080032299014,14.2822959942631,3.15408774741882e-40
"ENSG00000093009","CDC45","8318",-0.401393290918576,-14.2736869653617,3.46781869237223e-40
"ENSG00000214100","AC079776.2",NA,0.928835232280206,14.2576776863731,4.15247893543195e-40
"ENSG00000149557","FEZ1","9638",0.358179054222627,14.2375346943543,5.2019952677496e-40
"ENSG00000160161","CILP2","148113",0.518272856143511,14.2373513286328,5.2019952677496e-40
"ENSG00000218336","TENM3","55714",0.499247775887403,14.2262524221,5.88522034096436e-40
"ENSG00000069431","ABCC9","10060",0.393758485791514,14.2252185045446,5.92925795114808e-40
"ENSG00000018236","CNTN1","1272",0.475953712663611,14.2144654786071,6.68116873966027e-40
"ENSG00000269936","RP11-394O4.5",NA,0.351335221239187,14.20946086909,7.02331742621857e-40
"ENSG00000221818","EBF2","64641",0.319946875106244,14.2093617344903,7.02331742621857e-40
"ENSG00000169184","MN1","4330",0.537157299919657,14.1980729967089,7.96269900224378e-40
"ENSG00000131080","EDA2R","60401",0.502657960472312,14.1812382689732,9.62174790937327e-40
"ENSG00000249669","MIR143HG",NA,0.383561223474263,14.1782263985149,9.9176130001258e-40
"ENSG00000050165","DKK3","27122",0.382845477836278,14.1770621438964,1.00079100822433e-39
"ENSG00000214548","MEG3","55384",0.354818007546719,14.1662673952509,1.12811074893786e-39
"ENSG00000145536","ADAMTS16","170690",0.662638577257404,14.1646191194456,1.14476440006697e-39
"ENSG00000171101","SIGLEC17P",NA,0.594125628224009,14.1614952464162,1.18154304088962e-39
"ENSG00000134853","PDGFRA","5156",0.430852595287733,14.1432051026439,1.45149564938371e-39
"ENSG00000148488","ST8SIA6","338596",0.72404464431213,14.1424257485355,1.45835863742265e-39
"ENSG00000196090","PTPRT","11122",0.746524291659383,14.1402239778067,1.48939696830816e-39
"ENSG00000170801","HTRA3","94031",0.506453544290855,14.1371408116741,1.53658235289682e-39
"ENSG00000259969","RP11-999E24.3",NA,0.497963615250471,14.1359654541284,1.55095743588598e-39
"ENSG00000112214","FHL5","9457",0.378515575625387,14.1318890155211,1.61847751672358e-39
"ENSG00000180875","GREM2","64388",0.5550269014361,14.1287380070995,1.67111815325871e-39
"ENSG00000182771","GRID1","2894",0.336691168524216,14.1264780139936,1.70794773533363e-39
"ENSG00000165646","SLC18A2","6571",0.646648810577116,14.1205317674765,1.82098969274191e-39
"ENSG00000172061","LRRC15","131578",0.412397235684493,14.1119181263639,2.00179578587537e-39
"ENSG00000205795","CYS1","192668",0.421474973940448,14.1086723651516,2.06922508469102e-39
"ENSG00000106571","GLI3","2737",0.483758638036039,14.0898735304809,2.55611100322204e-39
"ENSG00000129596","CDO1","1036",0.465659605149989,14.0878203073044,2.60637096371786e-39
"ENSG00000132386","SERPINF1","5176",0.436170937167392,14.0838677401681,2.71608417294345e-39
"ENSG00000130176","CNN1","1264",0.365424194529107,14.0734009036277,3.04953829099827e-39
"ENSG00000162576","MXRA8","54587",0.480261319970752,14.0725229661922,3.06805831114126e-39
"ENSG00000162367","TAL1","6886",0.434711777365561,14.0562240670659,3.67605417826856e-39
"ENSG00000111206","FOXM1","2305",-0.459514508496014,-14.0560243504821,3.67605417826856e-39
"ENSG00000178726","THBD","7056",0.447931068913957,14.0392625240748,4.43487556812115e-39
"ENSG00000102359","SRPX2","27286",0.352484481712395,14.0308417153521,4.86358542686887e-39
"ENSG00000142173","COL6A2","1292",0.390000375142758,14.0048737131598,6.516373325214e-39
"ENSG00000181778","TMEM252","169693",0.649384225969196,13.999571869682,6.89574810839283e-39
"ENSG00000156103","MMP16","4325",0.498660028670603,13.9937027533831,7.34457922574998e-39
"ENSG00000152953","STK32B","55351",0.825125952152904,13.9766016166187,8.89105271702144e-39
"ENSG00000120738","EGR1","1958",0.638361472607748,13.9319349352764,1.47272349042862e-38
"ENSG00000113296","THBS4","7060",0.65268259032458,13.9162935725109,1.75261147542237e-38
"ENSG00000187398","LUZP2","338645",0.555250002275914,13.9031761945175,2.02652871191478e-38
"ENSG00000164736","SOX17","64321",0.300539424942967,13.9025106918767,2.03414185106156e-38
"ENSG00000149090","PAMR1","25891",0.390597878773482,13.8979176848255,2.13495029317338e-38
"ENSG00000259459","RP11-321G12.1",NA,0.753922107576546,13.8874987626264,2.39397377715084e-38
"ENSG00000149256","TENM4","26011",0.453684428647979,13.8690133736722,2.94152692896257e-38
"ENSG00000074410","CA12","771",0.59399993093538,13.8398616816281,4.07793037588477e-38
"ENSG00000235531","MSC-AS1","100132891",0.43528981775113,13.8335430694716,4.3640977435594e-38
"ENSG00000189184","PCDH18","54510",0.397951404971111,13.8318832497566,4.43036366941127e-38
"ENSG00000090539","CHRD","8646",0.58875418894474,13.8293273072728,4.54355626119948e-38
"ENSG00000145335","SNCA","6622",0.374865763419236,13.8288828378404,4.54962677222511e-38
"ENSG00000181234","TMEM132C","92293",0.698948704064184,13.7761290629129,8.23093341040889e-38
"ENSG00000137960","GIPC2","54810",0.456084892615067,13.7736115959002,8.43729484850984e-38
"ENSG00000276409","CCL14","6358",0.520662099321338,13.7617802210057,9.60789040174774e-38
"ENSG00000280339","RP11-736K20.4",NA,0.45154952274711,13.755371220585,1.02910145918497e-37
"ENSG00000104722","NEFM","4741",0.547974038386534,13.7452393889856,1.14953486900555e-37
"ENSG00000167749","KLK4","9622",0.475018881507567,13.7440510992105,1.16083884028886e-37
"ENSG00000112837","TBX18","9096",0.333398545743718,13.7069234128908,1.75754884920058e-37
"ENSG00000171357","LURAP1","541468",0.418090072769581,13.7041205087796,1.80739379597884e-37
"ENSG00000253250","C8orf88","100127983",0.524678158048971,13.6968295239181,1.95496961099559e-37
"ENSG00000204291","COL15A1","1306",0.2956908135685,13.6880596611125,2.15003925897246e-37
"ENSG00000100448","CTSG","1511",0.558132662316477,13.6726500558194,2.54778266250788e-37
"ENSG00000122176","FMOD","2331",0.441260648765111,13.6636150030357,2.81013107124319e-37
"ENSG00000103742","IGDCC4","57722",0.402867101907595,13.6626717406621,2.83007427836534e-37
"ENSG00000155011","DKK2","27123",0.430469448925567,13.641129091244,3.59208181375526e-37
"ENSG00000237125","HAND2-AS1","79804",0.290124133054068,13.6107864784936,5.03089999431152e-37
"ENSG00000137872","SEMA6D","80031",0.485100120690705,13.6094287847498,5.09025210382701e-37
"ENSG00000164611","PTTG1","9232",-0.391487100282903,-13.6005558483994,5.60290659857584e-37
"ENSG00000173114","LRRN3","54674",0.520435395756262,13.5954482423895,5.91233151833904e-37
