"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","1/68","14/1876",0.0714285714285714,1.97058823529412,0.706748803093122,0.404718932486897,0.856470480227346,0.852626671462556,"4036",1
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","1/68","14/1876",0.0714285714285714,1.97058823529412,0.706748803093122,0.404718932486897,0.856470480227346,0.852626671462556,"4916",1
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","2/68","39/1876",0.0512820512820513,1.41478129713424,0.507519542840363,0.416876680450803,0.856470480227346,0.852626671462556,"107/3909",2
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","3/68","65/1876",0.0461538461538462,1.27330316742081,0.434808471933769,0.421997221124716,0.856470480227346,0.852626671462556,"2099/107/658",3
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","1/68","15/1876",0.0666666666666667,1.83921568627451,0.63270594502705,0.426458520344518,0.856470480227346,0.852626671462556,"10349",1
"Organismal Systems","Nervous system","hsa04730","Long-term depression","1/68","15/1876",0.0666666666666667,1.83921568627451,0.63270594502705,0.426458520344518,0.856470480227346,0.852626671462556,"2891",1
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","1/68","15/1876",0.0666666666666667,1.83921568627451,0.63270594502705,0.426458520344518,0.856470480227346,0.852626671462556,"5803",1
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","2/68","41/1876",0.0487804878048781,1.34576757532281,0.434024292542571,0.442243483788445,0.856470480227346,0.852626671462556,"566/366",2
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","2/68","41/1876",0.0487804878048781,1.34576757532281,0.434024292542571,0.442243483788445,0.856470480227346,0.852626671462556,"7802/2891",2
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","1/68","16/1876",0.0625,1.72426470588235,0.564100806527467,0.447415436312586,0.856470480227346,0.852626671462556,"2678",1
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","1/68","16/1876",0.0625,1.72426470588235,0.564100806527467,0.447415436312586,0.856470480227346,0.852626671462556,"1960",1
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","1/68","16/1876",0.0625,1.72426470588235,0.564100806527467,0.447415436312586,0.856470480227346,0.852626671462556,"107",1
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","3/68","68/1876",0.0441176470588235,1.21712802768166,0.353612012542123,0.451420180758832,0.856470480227346,0.852626671462556,"1101/1297/3909",3
"Metabolism","Global and overview maps","hsa01100","Metabolic pathways","12/68","310/1876",0.0387096774193548,1.06793168880455,0.253812647256822,0.451472811282632,0.856470480227346,0.852626671462556,"107/54898/23632/761/5158/9415/2875/8942/8972/2678/8564/54511",12
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","1/68","17/1876",0.0588235294117647,1.62283737024221,0.500167314397543,0.467617452619437,0.871757216450944,0.867844801362832,"107",1
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","3/68","71/1876",0.0422535211267606,1.16570008285004,0.275974640399191,0.480253354383646,0.871757216450944,0.867844801362832,"1101/1297/3909",3
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","1/68","18/1876",0.0555555555555556,1.53267973856209,0.440286586751119,0.487091370436478,0.871757216450944,0.867844801362832,"1960",1
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","4/68","100/1876",0.04,1.10352941176471,0.206299485577359,0.495943831506227,0.871757216450944,0.867844801362832,"107/4916/2264/4915",4
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","1/68","19/1876",0.0526315789473684,1.45201238390093,0.383952112465069,0.505863053326854,0.871757216450944,0.867844801362832,"5366",1
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","1/68","19/1876",0.0526315789473684,1.45201238390093,0.383952112465069,0.505863053326854,0.871757216450944,0.867844801362832,"2099",1
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","2/68","47/1876",0.0425531914893617,1.17396745932416,0.234188721938878,0.514588787549337,0.871757216450944,0.867844801362832,"107/1908",2
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","1/68","20/1876",0.05,1.37941176470588,0.330744540737386,0.523957459559366,0.871757216450944,0.867844801362832,"5366",1
